time,ACB,BCG,BCM,BID,BMP,BVH,CII,CMG,CRE,CTD,CTG,DBC,DCM,DGC,DGW,DIG,DPM,DXG,EIB,FCN,GEX,GMD,GVR,HAG,HAH,HDB,HDC,HDG,HHV,HPG,HSG,HT1,ITA,KBC,KDC,KDH,LPB,MBB,MSB,MSN,NT2,NVL,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PTB,PVD,PVT,REE,SAB,SAM,SBT,SCS,SHB,SJS,SZC,TCB,TCH,TCM,TPB,VCB,VCG,VCI,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSH
2021-01-28,9.6,7.67,50.27,22.07,35.74,46.74,15.83,13.24,7.67,48.31,14.09,14.55,9.09,16.4,13.17,14.79,5.93,13.2,11.75,10.57,12.82,21.33,24.05,4.79,4.65,7.07,13.2,16.36,12.53,15.81,15.21,14.11,6.47,27.64,35.76,19.81,5.48,7.47,6.14,69.85,15.98,42.65,7.16,24.15,10.2,26.23,44.62,40.59,52.08,9.71,31.07,12.59,10.02,26.12,67.38,11.6,14.21,47.39,5.62,12.32,24.48,14.74,11.52,41.81,8.06,39.44,27.3,12.81,27.21,64.4,8.74,41.33,6.23,121.7,4.57,73.1,9.68,22.6,32.05,12.91
2021-01-29,10.06,7.45,52.13,22.9,37.24,48.91,16.18,13.89,7.9,50.7,14.16,14.91,9.42,16.76,14.0,14.79,6.08,13.23,10.94,10.57,13.15,22.07,22.44,4.83,4.66,7.27,13.2,16.87,12.53,16.5,16.26,14.77,6.42,27.64,36.12,19.81,5.5,7.84,6.41,70.01,16.61,45.13,7.65,24.1,10.89,27.88,44.62,42.13,55.7,9.67,31.66,13.11,10.38,27.58,62.69,11.05,13.9,48.75,5.82,13.17,26.17,15.12,11.81,43.35,8.61,40.48,28.86,12.8,27.28,68.9,8.87,44.18,6.67,125.8,4.74,78.2,9.79,23.17,32.05,13.29
2021-02-01,10.0,7.42,50.27,22.44,37.49,46.31,15.6,13.29,7.73,47.21,14.85,14.08,8.83,16.39,14.28,14.76,5.87,12.32,11.36,9.87,12.4,20.55,20.88,4.5,4.82,7.23,12.85,15.71,12.53,16.16,15.32,14.11,5.98,25.72,35.48,18.57,5.22,7.36,6.3,67.15,16.44,45.07,7.69,22.45,10.89,27.23,43.01,41.7,52.82,9.35,30.97,12.22,9.66,27.09,67.07,10.32,12.98,49.14,5.38,12.63,24.36,15.21,11.01,40.33,8.41,39.66,28.93,12.43,25.41,65.06,8.71,44.0,6.65,125.5,4.42,78.12,10.12,22.8,30.0,13.29
2021-02-02,10.26,7.45,51.2,22.59,38.49,47.35,16.02,13.99,8.04,46.59,15.74,14.69,8.72,16.69,15.07,15.25,5.79,13.17,11.36,10.38,12.59,20.51,21.52,4.26,4.85,7.56,13.63,16.69,12.53,17.07,15.91,14.46,5.57,27.52,36.08,18.97,5.39,7.81,6.28,68.79,16.68,45.3,7.94,23.06,11.63,27.88,43.7,42.74,54.63,9.47,32.16,12.96,9.99,28.93,69.39,9.67,13.86,49.37,5.86,12.63,22.99,16.06,11.3,40.44,8.73,42.01,29.08,12.67,25.34,69.56,8.97,47.07,7.09,129.7,4.65,80.93,10.82,23.31,31.95,13.41
2021-02-03,10.54,7.92,52.6,23.73,38.74,50.64,16.8,14.01,8.0,48.65,16.2,15.34,9.31,17.2,15.21,15.97,6.12,14.08,11.62,10.62,13.25,21.51,23.0,4.45,5.18,7.82,14.41,17.14,14.37,17.7,16.64,14.99,5.95,29.44,36.86,19.65,5.76,8.11,6.64,72.8,16.93,46.7,8.35,24.66,12.1,29.47,44.85,43.42,55.57,10.12,32.41,13.85,10.64,29.2,69.39,10.32,14.83,50.88,6.18,13.36,23.42,16.53,12.08,41.23,9.25,43.05,29.17,13.53,26.7,71.62,9.51,47.78,7.58,131.0,4.97,83.44,11.57,24.05,33.1,13.6
2021-02-04,10.58,8.35,52.13,23.82,38.81,50.29,16.53,14.44,8.0,48.17,16.11,15.34,9.38,17.43,15.68,15.69,6.12,14.38,11.56,10.71,13.55,22.51,23.41,4.46,5.19,7.67,14.55,17.34,14.37,17.62,16.64,14.81,6.01,30.11,36.86,20.31,5.81,8.04,6.56,73.29,16.93,45.86,8.2,25.09,12.56,29.47,44.69,44.11,55.57,10.24,32.65,14.52,10.67,28.93,70.59,11.01,14.83,50.5,6.14,13.3,23.64,16.53,12.03,40.18,9.15,43.05,29.05,13.84,26.56,72.51,9.49,46.67,7.5,130.6,5.15,82.76,11.95,24.05,32.6,13.63
2021-02-05,10.69,8.39,54.65,23.99,39.26,51.94,16.22,14.44,7.97,48.92,16.62,16.24,9.53,18.24,16.77,16.3,6.25,15.19,11.62,10.9,13.78,22.95,23.64,4.56,5.36,7.85,14.81,17.96,14.37,17.91,16.71,15.03,6.02,30.0,36.86,20.34,6.09,8.27,6.6,73.37,17.04,45.13,8.14,25.38,12.39,30.17,44.77,44.89,56.24,10.32,32.7,14.78,10.77,28.93,70.52,10.87,15.83,50.5,6.42,13.82,23.61,17.15,12.14,40.12,9.22,43.53,28.8,14.15,26.63,73.17,9.94,47.78,7.55,131.1,5.32,83.37,12.08,23.68,32.7,13.71
2021-02-08,10.32,7.98,52.04,23.02,38.68,49.68,16.22,13.86,7.73,47.0,15.81,15.34,9.27,18.38,16.06,15.86,6.1,14.48,11.53,10.43,13.22,21.88,22.03,4.33,5.09,7.64,14.63,17.21,12.89,17.24,16.36,14.68,5.6,27.9,37.6,19.25,6.15,7.99,6.45,70.1,16.64,43.72,7.81,23.74,12.2,30.62,43.85,44.71,54.23,9.88,32.9,15.04,10.41,29.2,67.45,10.64,15.87,48.36,6.02,14.21,22.43,16.53,11.3,39.38,9.04,40.96,28.8,13.42,25.95,69.78,9.77,44.89,7.34,124.6,5.25,80.1,11.75,22.63,30.9,13.44
2021-02-09,10.71,8.01,53.06,23.42,38.81,51.85,16.57,13.99,7.9,47.28,16.43,15.65,9.24,18.44,17.17,16.05,6.12,15.49,11.56,10.52,13.32,22.66,22.12,4.56,5.28,7.85,14.85,17.56,14.37,17.62,16.71,14.99,5.99,28.95,38.43,19.81,6.39,8.27,6.6,72.63,16.71,44.45,8.16,24.61,12.13,31.37,44.16,45.57,56.04,10.04,33.74,15.71,10.64,30.83,69.86,10.68,16.91,51.27,6.18,14.05,23.08,17.01,11.46,41.02,9.27,42.31,29.54,13.82,26.31,71.33,10.1,47.2,7.6,129.0,5.47,82.15,12.57,23.04,31.55,13.52
2021-02-17,11.03,8.2,54.46,24.16,40.03,53.58,17.54,14.42,8.07,49.54,17.08,16.12,9.46,19.73,18.37,16.71,6.27,16.57,11.69,11.23,13.97,24.21,23.64,4.83,5.61,8.28,15.89,18.5,14.37,18.31,17.72,15.43,6.4,30.98,41.01,20.8,6.46,8.63,6.83,75.34,16.89,45.58,8.24,25.43,12.87,32.27,46.53,47.89,57.98,10.57,35.08,16.78,11.35,31.96,70.32,10.96,18.03,50.5,6.42,14.54,24.42,18.14,11.92,41.13,9.56,43.53,30.27,14.49,27.57,74.42,10.6,48.0,7.77,131.0,5.66,82.68,13.43,23.61,33.75,13.67
